Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,590.200012,594.200012,587.000000,589.000000,589.000000,2520122
2020-02-17,593.400024,603.799988,593.200012,602.799988,602.799988,1946710
2020-02-18,594.599976,600.895020,575.000000,577.000000,577.000000,3673708
2020-02-19,581.799988,583.200012,568.200012,570.400024,570.400024,4641103
2020-02-20,572.000000,576.599976,567.000000,569.400024,569.400024,3010058
2020-02-21,569.599976,575.400024,566.000000,569.799988,569.799988,2012259
2020-02-24,558.200012,746.997986,543.799988,548.599976,548.599976,2930357
2020-02-25,549.400024,554.400024,539.799988,539.799988,539.799988,3717681
2020-02-26,540.000000,543.000000,527.812988,540.400024,540.400024,3456525
2020-02-27,532.599976,532.599976,515.000000,524.000000,524.000000,4721068
2020-02-28,501.200012,519.599976,490.399994,519.599976,519.599976,9740671
2020-03-02,530.000000,534.000000,508.399994,519.200012,519.200012,7736895
2020-03-03,523.200012,526.400024,511.399994,516.599976,516.599976,6736155
2020-03-04,518.599976,525.599976,512.599976,521.400024,521.400024,2597851
2020-03-05,521.799988,525.400024,503.399994,512.000000,512.000000,6200447
2020-03-06,500.000000,503.000000,491.799988,495.399994,495.399994,3913153
2020-03-09,471.299988,483.500000,464.700012,475.200012,475.200012,6982961
2020-03-10,477.200012,493.100006,468.399994,470.000000,470.000000,8323533
2020-03-11,478.200012,478.600006,456.899994,462.500000,462.500000,5693776
2020-03-12,439.799988,441.399994,426.303986,434.600006,434.600006,6693724
2020-03-13,449.000000,465.399994,432.000000,447.600006,447.600006,5401996
2020-03-16,422.500000,431.399994,386.200012,411.899994,411.899994,10119520
2020-03-17,419.000000,419.000000,379.000000,395.000000,395.000000,11092431
2020-03-18,380.600006,385.200012,358.299988,369.000000,369.000000,9756217
2020-03-19,313.700012,450.799988,308.600006,427.500000,427.500000,21979250
2020-03-20,439.600006,449.200012,376.000000,377.200012,377.200012,10210302
2020-03-23,350.600006,370.100006,338.058990,364.700012,364.700012,7600853
2020-03-24,371.700012,403.200012,356.500000,393.399994,393.399994,7845627
2020-03-25,403.700012,405.500000,361.122986,395.200012,395.200012,9276221
2020-03-26,387.899994,437.500000,377.529999,437.500000,437.500000,4866893
2020-03-27,424.399994,426.399994,407.200012,425.000000,425.000000,4643444
2020-03-30,425.200012,444.299988,408.399994,443.299988,443.299988,3564092
2020-03-31,440.600006,451.600006,408.399994,439.100006,439.100006,5614231
2020-04-01,431.100006,431.100006,382.600006,390.600006,390.600006,12656635
2020-04-02,391.299988,403.000000,380.299988,385.000000,385.000000,6465093
2020-04-03,385.000000,385.000000,354.000000,372.000000,372.000000,13440483
2020-04-06,381.799988,400.700012,376.200012,392.000000,392.000000,11394480
2020-04-07,401.399994,418.500000,397.700012,412.000000,412.000000,5561277
2020-04-08,408.000000,417.000000,404.799988,416.700012,416.700012,6679945
2020-04-09,420.700012,433.988007,411.700012,414.000000,414.000000,4877337
2020-04-14,419.899994,431.487000,416.200012,425.000000,425.000000,5464088
2020-04-15,418.200012,424.799988,398.000000,402.899994,402.899994,3556446
2020-04-16,407.000000,429.700012,403.899994,425.399994,425.399994,6183043
2020-04-17,442.000000,455.100006,425.899994,438.700012,438.700012,5613769
2020-04-20,441.700012,453.000000,435.100006,452.700012,452.700012,4061015
2020-04-21,448.000000,452.000000,442.500000,445.799988,445.799988,5702853
2020-04-22,455.000000,456.899994,444.799988,450.399994,450.399994,4099093
2020-04-23,452.700012,457.500000,448.700012,450.000000,450.000000,4069820
2020-04-24,444.299988,457.799988,442.000000,450.000000,450.000000,3319648
