Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,662.799988,662.799988,643.200012,643.200012,597.294861,10767420
2020-02-17,643.400024,647.000000,631.799988,638.200012,592.651733,6217083
2020-02-18,633.000000,642.200012,633.000000,637.000000,591.537354,13390887
2020-02-19,636.400024,640.000000,632.400024,640.000000,594.323181,5526210
2020-02-20,641.000000,665.799988,640.599976,656.400024,609.552795,12292898
2020-02-21,654.799988,672.799988,651.200012,669.000000,621.253479,9335545
2020-02-24,661.799988,662.000000,646.400024,659.599976,612.524353,10873772
2020-02-25,658.799988,663.200012,634.799988,639.799988,594.137573,10281381
2020-02-26,635.200012,641.000000,625.000000,641.000000,595.251831,9972277
2020-02-27,632.000000,637.200012,624.200012,631.799988,586.708496,12877339
2020-02-28,619.200012,631.799988,600.400024,608.400024,564.978577,21369825
2020-03-02,618.400024,627.200012,600.200012,610.799988,567.207214,11833285
2020-03-03,612.599976,619.000000,609.400024,612.000000,568.321594,15309331
2020-03-04,611.200012,617.400024,605.599976,613.799988,569.993164,8967459
2020-03-05,610.599976,613.400024,603.200012,609.200012,565.721497,9467930
2020-03-06,583.000000,601.000000,582.000000,597.200012,554.577881,11913152
2020-03-09,558.200012,571.400024,551.200012,554.799988,515.203979,15279096
2020-03-10,561.799988,569.799988,550.697998,550.799988,511.489410,12368076
2020-03-11,557.200012,558.599976,536.799988,539.000000,500.531616,10834999
2020-03-12,512.200012,523.200012,503.399994,503.399994,467.472382,14494401
2020-03-13,525.000000,539.799988,507.799988,522.799988,485.487793,15098223
2020-03-16,494.299988,500.399994,472.700012,497.000000,461.529144,15519760
2020-03-17,508.799988,512.200012,472.299988,482.899994,448.435455,22440084
2020-03-18,465.200012,479.200012,457.000000,477.299988,443.235107,12571134
2020-03-19,476.399994,507.799988,468.200012,496.600006,461.157715,12589360
2020-03-20,520.599976,525.958008,461.500000,470.000000,436.456146,30250684
2020-03-23,444.500000,462.799988,428.600006,438.899994,407.575714,17117813
2020-03-24,455.000000,485.100006,435.500000,485.100006,450.478455,11968424
2020-03-25,496.100006,523.599976,480.000000,523.599976,486.230713,14690819
2020-03-26,505.600006,537.599976,498.399994,537.599976,499.231506,16495524
2020-03-27,523.599976,523.599976,499.000000,516.200012,479.358856,8943020
2020-03-30,514.599976,520.200012,498.100006,508.399994,472.115509,7855795
2020-03-31,513.799988,523.000000,498.598999,521.799988,484.559143,12679800
2020-04-01,500.399994,508.399994,483.899994,487.600006,452.800018,10226844
2020-04-02,490.899994,501.338989,481.000000,498.100006,462.550629,7163998
2020-04-03,496.100006,500.765015,483.880005,500.000000,464.315063,8877474
2020-04-06,508.000000,524.599976,506.000000,516.599976,479.730255,6399855
2020-04-07,530.400024,547.599976,516.599976,528.400024,490.688171,7870305
2020-04-08,518.200012,529.200012,511.200012,529.200012,491.431061,6237671
2020-04-09,533.400024,546.599976,531.000000,538.400024,499.974457,7372286
2020-04-14,540.000000,544.599976,520.400024,528.799988,491.059570,11320533
2020-04-15,529.799988,535.000000,512.000000,518.599976,481.587524,8805097
2020-04-16,516.599976,529.799988,516.599976,526.200012,502.003510,8437103
2020-04-17,538.799988,561.400024,534.799988,558.400024,532.722839,10577906
2020-04-20,562.200012,562.799988,538.400024,548.000000,522.801086,5679995
2020-04-21,543.799988,549.200012,532.599976,534.599976,510.017242,6031064
2020-04-22,534.599976,534.599976,507.200012,510.399994,486.930054,12605078
2020-04-23,511.399994,519.309998,507.200012,513.599976,489.982880,11716163
2020-04-24,505.000000,516.419983,499.899994,505.000000,481.778381,6349627
2020-04-27,518.000000,518.000000,506.799988,514.000000,490.364532,7841794
2020-04-28,514.000000,525.200012,512.599976,512.599976,489.028870,15080716
2020-04-29,515.400024,545.000000,513.599976,536.200012,511.543732,8281951
2020-04-30,540.400024,544.500000,508.399994,508.399994,485.022003,13053454
2020-05-01,505.600006,510.000000,493.600006,503.000000,479.870331,4415548
2020-05-04,505.200012,509.600006,491.500000,491.500000,468.899139,7063900
2020-05-05,496.899994,499.000000,489.200012,496.100006,473.287659,7059024
2020-05-06,497.200012,501.799988,488.799988,490.500000,467.945129,12946764
2020-05-07,491.200012,512.200012,489.700012,512.200012,488.647278,8740929
2020-05-11,517.000000,517.599976,500.600006,503.000000,479.870331,6071735
2020-05-12,503.399994,524.200012,501.200012,517.200012,493.417389,7822974
2020-05-13,510.200012,516.599976,500.000000,505.000000,481.778381,6819068
2020-05-14,500.000000,512.799988,489.000000,492.700012,470.043976,6804652
2020-05-15,498.799988,504.799988,485.799988,496.500000,473.669250,5254687
2020-05-18,502.600006,512.599976,494.000000,501.000000,477.962311,6248943
2020-05-19,507.600006,509.181000,490.200012,497.299988,474.432404,9019204
2020-05-20,492.600006,501.799988,492.600006,498.200012,475.291077,10874212
2020-05-21,493.899994,500.169006,491.399994,494.000000,471.284180,21617037
2020-05-22,489.799988,494.799988,485.712006,493.700012,470.998016,15253733
2020-05-26,506.799988,516.400024,498.500000,513.400024,489.792114,9537457
2020-05-27,514.599976,518.799988,499.299988,502.399994,479.297913,8047063
2020-05-28,506.000000,512.200012,505.000000,511.000000,487.502472,8548294
2020-05-29,503.600006,512.400024,492.399994,496.200012,473.383026,12871928
2020-06-01,501.000000,505.399994,489.399994,498.299988,475.386444,5723476
2020-06-02,498.600006,508.399994,497.000000,497.000000,474.146240,9082856
2020-06-03,500.799988,516.927002,497.799988,513.400024,489.792114,16747402
2020-06-04,511.000000,519.799988,508.600006,511.200012,487.693298,10209433
2020-06-05,517.400024,520.000000,511.567993,514.400024,490.746155,10807241
2020-06-08,510.600006,526.400024,505.204987,523.799988,499.713837,11262564
2020-06-09,524.400024,587.328003,521.000000,530.599976,506.201172,12127822
2020-06-10,532.599976,543.000000,528.400024,529.000000,504.674774,9810354
2020-06-11,518.000000,529.400024,509.600006,516.599976,492.844940,11989779
2020-06-12,511.000000,521.200012,502.799988,504.799988,481.587555,10190973
2020-06-15,497.200012,524.799988,496.299988,498.000000,475.100250,6814432
2020-06-16,508.000000,511.000000,497.399994,509.000000,485.594452,11012708
2020-06-17,509.399994,515.200012,506.200012,506.600006,483.304810,11233393
2020-06-18,506.399994,507.799988,500.000000,501.000000,477.962311,5811720
2020-06-19,504.000000,509.399994,498.899994,506.000000,482.732391,18396878
2020-06-22,503.000000,508.600006,501.000000,507.000000,483.686401,25106458
2020-06-23,507.600006,511.000000,505.799988,509.000000,485.594452,6906691
2020-06-24,500.000000,504.600006,479.600006,479.600006,457.546356,8123655
2020-06-25,484.100006,489.500000,474.000000,485.799988,463.461243,9557071
2020-06-26,486.899994,497.100006,485.200012,485.200012,462.888855,6145358
2020-06-29,482.799988,496.600006,480.200012,495.700012,472.906036,6014784
2020-06-30,494.500000,496.100006,480.500000,483.399994,461.171600,7126941
2020-07-01,483.299988,484.899994,475.399994,483.299988,461.076202,5696184
2020-07-02,488.600006,489.700012,479.600006,483.500000,461.267029,5638975
2020-07-03,483.899994,486.927002,476.799988,482.200012,460.026794,4819997
2020-07-06,488.200012,494.799988,487.100006,492.200012,469.566956,4508560
2020-07-07,490.500000,494.928009,488.000000,489.200012,466.704926,4993161
2020-07-08,485.000000,497.399994,479.299988,479.899994,457.832550,5953184
