Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,2897.000000,2897.000000,2840.000000,2840.000000,2752.960938,961520
2020-02-17,2828.000000,2864.000000,2827.000000,2852.000000,2764.593018,599207
2020-02-18,2823.000000,2860.000000,2820.000000,2834.000000,2747.144775,555437
2020-02-19,2839.000000,2874.000000,2831.000000,2861.000000,2773.317383,412505
2020-02-20,2839.000000,2868.000000,2798.780029,2806.000000,2720.002930,804288
2020-02-21,2799.000000,2811.000000,2777.000000,2798.000000,2712.248047,1385600
2020-02-24,2759.000000,2760.000000,2691.000000,2729.000000,2645.362793,2502278
2020-02-25,2735.000000,2768.000000,2645.000000,2646.000000,2564.906494,1707101
2020-02-26,2645.000000,2662.000000,2578.000000,2657.000000,2575.569336,877178
2020-02-27,2640.000000,2666.000000,2599.000000,2606.000000,2526.132324,981999
2020-02-28,2531.000000,2606.000000,2451.000000,2474.000000,2398.177979,2372297
2020-03-02,2532.000000,2556.000000,2456.021973,2515.000000,2437.921387,1210912
2020-03-03,2537.000000,2611.000000,2531.000000,2582.000000,2502.867920,1011526
2020-03-04,2588.000000,2607.000000,2574.000000,2604.000000,2524.193604,760920
2020-03-05,2606.000000,2619.000000,2515.000000,2555.000000,2476.695557,848869
2020-03-06,2512.000000,2538.000000,2452.000000,2472.000000,2396.239258,815090
2020-03-09,2322.000000,2356.000000,2227.000000,2227.000000,2158.747803,1508963
2020-03-10,2239.000000,2267.000000,2160.000000,2163.000000,2096.709229,1362498
2020-03-11,2205.000000,2220.000000,1964.000000,1981.500000,1920.771851,2591429
2020-03-12,1885.000000,1901.729980,1699.500000,1716.000000,1663.408813,1470670
2020-03-13,1818.500000,1933.000000,1743.000000,1851.500000,1794.755981,1808957
2020-03-16,1749.500000,1768.000000,1511.000000,1574.000000,1525.760742,2140051
2020-03-17,1635.000000,1656.000000,1399.349976,1494.000000,1448.212524,2234030
2020-03-18,1475.000000,1596.000000,1393.099976,1537.500000,1490.379395,1608915
2020-03-19,1548.500000,1650.000000,1502.000000,1595.500000,1546.601807,2455167
