Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,2990.000000,3007.000000,2975.000000,2977.000000,2873.290039,1317929
2020-02-17,2987.000000,2987.000000,2944.000000,2945.000000,2842.404785,1674540
2020-02-18,2920.000000,2944.000000,2903.000000,2915.000000,2813.449951,2510718
2020-02-19,2915.000000,2942.000000,2909.000000,2930.000000,2827.927490,2981744
2020-02-20,2924.000000,2959.000000,2922.000000,2922.000000,2820.206055,866188
2020-02-21,2919.000000,2922.000000,2888.000000,2904.000000,2802.833252,1102173
2020-02-24,2850.000000,2865.925049,2789.000000,2813.000000,2715.003418,1745588
2020-02-25,2829.000000,2846.000000,2745.000000,2758.000000,2661.919434,3629818
2020-02-26,2729.000000,2788.000000,2674.000000,2788.000000,2690.874268,1883147
2020-02-27,2742.000000,2763.000000,2660.000000,2695.000000,2601.114014,2940524
2020-02-28,2675.000000,2680.000000,2570.000000,2639.000000,2547.064941,4552958
2020-03-02,2721.000000,2737.447998,2602.000000,2718.000000,2623.312744,2973834
2020-03-03,2747.000000,2812.000000,2742.000000,2757.000000,2660.954102,2652535
2020-03-04,2785.000000,2792.000000,2759.000000,2786.000000,2688.943848,2124365
2020-03-05,2788.000000,2798.000000,2731.000000,2755.000000,2659.023926,3369441
2020-03-06,2681.000000,2711.000000,2632.000000,2649.000000,2556.716553,4120092
2020-03-09,2540.000000,2540.000000,2424.000000,2424.000000,2339.554932,2806937
2020-03-10,2437.000000,2535.000000,2388.000000,2402.000000,2318.321289,8495733
2020-03-11,2437.000000,2460.000000,2313.000000,2313.000000,2232.421875,3370959
2020-03-12,2140.000000,2170.000000,2016.000000,2019.000000,2003.226563,3882773
2020-03-13,2205.000000,2221.000000,2031.000000,2083.000000,2066.726563,3860408
2020-03-16,1875.000000,1935.000000,1788.527954,1909.500000,1894.582031,4856499
2020-03-17,1995.000000,2024.000000,1740.500000,1847.000000,1832.570313,3032942
2020-03-18,1761.000000,1823.000000,1500.000000,1574.000000,1561.703125,4422571
2020-03-19,1617.000000,1679.500000,1536.500000,1595.000000,1582.539063,3739439
2020-03-20,1710.000000,1833.000000,1640.500000,1775.000000,1761.132813,3866320
2020-03-23,1670.000000,1769.500000,1596.581055,1749.500000,1735.832031,2998707
2020-03-24,1837.000000,1970.000000,1768.000000,1970.000000,1954.609375,3959282
