Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,395.000000,395.000000,385.500000,385.500000,334.092133,2429177
2020-02-17,393.899994,395.000000,386.500000,388.100006,336.345398,1227445
2020-02-18,384.700012,384.700012,371.000000,377.200012,326.898987,5569541
2020-02-19,384.600006,390.500000,381.899994,390.399994,338.338684,1886007
2020-02-20,388.500000,397.700012,387.700012,387.700012,335.998749,2557102
2020-02-21,391.500000,391.500000,376.100006,387.399994,335.738770,4583282
2020-02-24,377.399994,377.500000,359.364990,367.600006,318.579163,4494169
2020-02-25,365.899994,369.600006,356.399994,359.700012,311.732666,3260860
2020-02-26,365.600006,376.600006,343.299988,376.600006,326.378998,5529759
2020-02-27,365.000000,371.600006,330.399994,337.000000,292.059784,8545987
2020-02-28,320.799988,337.000000,316.500000,326.299988,282.786652,8627042
2020-03-02,337.799988,344.515991,309.299988,317.600006,275.246857,8627240
2020-03-03,319.399994,336.498993,317.000000,330.600006,286.513245,14990999
2020-03-04,336.899994,337.799988,323.299988,328.399994,284.606628,4340727
2020-03-05,303.000000,303.808990,281.100006,289.299988,276.566772,6899752
2020-03-06,278.899994,284.899994,269.100006,269.100006,257.255890,5706814
2020-03-09,236.899994,242.600006,225.500000,232.300003,222.075577,5563655
2020-03-10,240.300003,260.500000,233.600006,246.800003,235.937378,8935026
2020-03-11,253.500000,259.000000,242.699997,247.300003,236.415375,6625454
2020-03-12,234.899994,235.399994,203.399994,203.399994,194.447571,8577309
2020-03-13,228.600006,244.500000,202.000000,228.800003,218.729630,9330938
2020-03-16,226.300003,250.100006,214.100006,243.300003,232.591431,6472066
2020-03-17,273.000000,273.000000,202.899994,249.699997,238.709732,6008104
2020-03-18,247.000000,248.485001,219.399994,230.500000,220.354813,5589845
2020-03-19,227.500000,241.100006,206.399994,209.800003,200.565903,7247052
2020-03-20,239.899994,240.000000,206.899994,224.399994,214.523285,13038810
2020-03-23,203.600006,223.048996,200.600006,210.100006,200.852692,5360974
2020-03-24,225.500000,253.399994,219.800003,252.100006,241.004120,6400643
2020-03-25,252.500000,273.799988,239.399994,254.300003,243.107285,6448540
2020-03-26,239.800003,253.600006,234.000000,250.500000,239.474533,3564247
2020-03-27,251.500000,254.063004,229.121002,239.899994,229.341064,5115149
2020-03-30,239.199997,254.063004,223.000000,226.699997,216.722061,3332463
2020-03-31,228.199997,254.063004,223.000000,231.600006,221.406403,5623802
2020-04-01,220.000000,232.500000,220.000000,226.199997,216.244064,2946910
2020-04-02,227.100006,242.399994,223.399994,231.100006,220.928406,4057232
2020-04-03,227.899994,232.518997,222.000000,228.000000,217.964844,2113386
2020-04-06,232.000000,241.000000,231.000000,232.399994,222.171173,3477873
2020-04-07,241.600006,255.600006,241.268005,248.300003,237.371368,4818791
2020-04-08,244.399994,261.700012,241.500000,261.100006,249.607986,4529822
2020-04-09,269.100006,283.089996,258.200012,264.299988,252.667130,3922078
2020-04-14,272.700012,273.579987,250.899994,252.600006,241.482101,3535944
2020-04-15,250.000000,254.300003,230.500000,232.699997,222.457977,5076968
2020-04-16,234.000000,255.500000,232.800003,250.600006,239.570129,5657571
2020-04-17,262.000000,268.600006,250.520996,260.500000,249.034393,4240382
2020-04-20,259.799988,264.899994,251.699997,263.399994,251.806747,2214347
2020-04-21,256.600006,259.600006,233.800003,233.800003,223.509567,3929680
