Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,676.799988,676.799988,662.400024,675.000000,665.608398,919816
2020-02-17,679.799988,679.799988,660.000000,665.400024,656.141968,577885
2020-02-18,663.000000,704.000000,662.375977,688.000000,678.427551,1259422
2020-02-19,692.599976,723.000000,692.000000,701.400024,691.641113,1696225
2020-02-20,710.599976,713.539001,687.200012,691.400024,681.780273,1351708
2020-02-21,693.799988,722.000000,693.799988,712.200012,702.290833,2095122
2020-02-24,732.799988,788.799011,713.000000,735.000000,724.773560,3071379
2020-02-25,727.599976,743.543030,719.200012,727.400024,717.279358,2335282
2020-02-26,719.400024,725.372986,704.000000,708.400024,698.543762,1788262
2020-02-27,710.000000,715.599976,685.200012,685.200012,675.666504,1806277
2020-02-28,659.599976,661.200012,594.000000,603.799988,595.399048,3346911
2020-03-02,617.200012,647.109985,607.799988,620.000000,611.373657,2474858
2020-03-03,627.000000,659.599976,585.046021,649.799988,640.758972,3274950
2020-03-04,647.599976,661.000000,630.463013,659.000000,649.831055,2246615
2020-03-05,661.000000,676.000000,640.664978,666.000000,656.733582,1914385
2020-03-06,666.599976,695.400024,661.200012,663.200012,653.972595,1947101
2020-03-09,614.799988,671.599976,609.599976,657.799988,648.647705,2909607
2020-03-10,660.599976,666.799988,615.482971,617.599976,609.007019,2957741
2020-03-11,607.799988,640.599976,607.799988,619.000000,610.387573,1634532
2020-03-12,601.799988,605.000000,539.599976,556.200012,548.461365,2048421
2020-03-13,556.200012,583.000000,542.400024,543.799988,536.233826,3773117
2020-03-16,524.799988,533.799988,456.509003,527.000000,519.667603,3728891
2020-03-17,540.200012,602.400024,506.600006,584.799988,576.663391,3065389
2020-03-18,575.400024,609.599976,543.599976,599.000000,590.665833,3596055
2020-03-19,598.799988,622.000000,537.000000,566.000000,558.125000,4124076
2020-03-20,600.000000,610.799988,544.400024,595.599976,587.313110,16162038
2020-03-23,577.200012,631.400024,553.599976,620.000000,611.373657,2883583
2020-03-24,635.000000,726.799988,617.056030,726.799988,716.687683,2966766
2020-03-25,730.000000,775.799988,697.400024,765.000000,754.356201,3557176
2020-03-26,734.200012,758.599976,721.200012,751.799988,741.339844,2120179
2020-03-27,726.000000,752.200012,714.799988,727.599976,717.476501,1407134
2020-03-30,715.400024,750.400024,687.799988,700.000000,690.260559,1712394
2020-03-31,687.799988,750.400024,656.000000,666.799988,657.522461,2363332
2020-04-01,644.400024,697.000000,636.200012,655.000000,645.886719,2091476
2020-04-02,640.000000,681.200012,620.000000,677.799988,668.369446,2364961
2020-04-03,668.400024,675.799988,633.799988,636.000000,627.151062,1463295
2020-04-06,638.400024,675.799988,634.000000,663.400024,654.169800,2247257
2020-04-07,683.000000,704.799988,680.599976,694.599976,684.935669,1643342
2020-04-08,695.200012,701.000000,652.200012,656.400024,647.267273,3619690
2020-04-09,645.400024,718.200012,645.400024,714.400024,704.460266,1391076
2020-04-14,731.799988,770.599976,731.799988,749.599976,739.170471,2083726
2020-04-15,744.799988,753.799988,687.000000,695.799988,686.118958,2379687
2020-04-16,701.799988,737.200012,699.599976,729.000000,718.857056,1912496
2020-04-17,726.000000,754.200012,703.400024,707.799988,697.952026,2086788
2020-04-20,705.799988,711.799988,682.000000,702.200012,692.429993,1508475
2020-04-21,696.200012,743.400024,696.200012,720.000000,709.982300,1954650
2020-04-22,722.200012,765.799988,720.200012,759.599976,749.031311,1716242
2020-04-23,753.200012,779.799988,743.599976,753.599976,752.611938,2063505
2020-04-24,744.599976,754.799988,727.599976,727.599976,726.645996,1784586
2020-04-27,728.000000,741.559998,705.799988,718.799988,717.857544,1585773
2020-04-28,715.799988,724.000000,699.000000,704.200012,703.276733,1439480
2020-04-29,714.000000,731.000000,707.526001,719.400024,718.456787,1903877
2020-04-30,731.200012,739.599976,706.400024,711.799988,710.866760,1790705
2020-05-01,695.000000,703.599976,678.599976,702.000000,701.079590,1146561
2020-05-04,703.000000,711.000000,689.400024,697.200012,696.285889,1325850
2020-05-05,709.799988,712.799988,685.000000,689.200012,688.296387,1179236
2020-05-06,691.000000,697.200012,669.000000,673.599976,672.716797,1871846
2020-05-07,676.000000,686.599976,663.200012,681.000000,680.107117,1647979
2020-05-11,688.200012,693.000000,679.400024,686.599976,685.699768,1304016
2020-05-12,687.400024,696.599976,674.179993,693.799988,692.890320,1021498
2020-05-13,683.799988,697.400024,672.799988,693.799988,692.890320,1247197
2020-05-14,685.000000,697.000000,671.502991,695.200012,694.288513,1250922
2020-05-15,707.000000,741.200012,704.799988,737.599976,736.632874,2550206
2020-05-18,759.799988,825.200012,755.000000,805.000000,803.944519,4050466
2020-05-19,812.599976,822.799988,775.000000,812.599976,811.534546,1957791
2020-05-20,817.599976,827.200012,799.000000,807.000000,805.941895,1797043
2020-05-21,795.000000,803.828003,772.799988,773.000000,771.986511,4230733
2020-05-22,779.400024,794.200012,763.000000,794.000000,792.958984,2532255
2020-05-26,806.000000,807.799988,766.400024,771.799988,770.788086,1397340
2020-05-27,771.000000,773.000000,748.400024,750.799988,749.815613,2516824
2020-05-28,766.000000,788.000000,757.000000,788.000000,786.966858,1521021
2020-05-29,778.400024,795.411011,766.400024,786.200012,785.169189,1197987
2020-06-01,803.200012,815.000000,791.799988,809.400024,808.338806,1303356
2020-06-02,813.400024,818.200012,793.400024,793.599976,792.559448,1371781
2020-06-03,793.000000,795.237976,746.599976,746.799988,745.820862,1931546
2020-06-04,746.799988,778.799988,741.557983,756.799988,755.807739,1552983
2020-06-05,756.799988,760.599976,711.799988,717.400024,716.459412,1825480
2020-06-08,728.400024,747.200012,715.200012,730.400024,729.442383,1192782
2020-06-09,741.000000,765.200012,736.000000,758.400024,757.405640,1873978
2020-06-10,765.000000,772.599976,752.213013,767.400024,766.393860,1127649
2020-06-11,777.000000,789.799988,767.200012,776.200012,775.182312,1175013
2020-06-12,757.000000,802.400024,750.161987,794.200012,793.158691,1885318
2020-06-15,776.599976,781.278992,733.200012,747.599976,746.619751,1520719
2020-06-16,761.599976,772.797974,746.335999,754.200012,753.211182,925722
2020-06-17,763.599976,767.799988,744.000000,765.799988,764.795959,635048
2020-06-18,760.000000,772.799988,751.200012,758.799988,757.805115,789140
2020-06-19,766.400024,780.000000,754.799988,780.000000,778.977295,1660569
2020-06-22,784.200012,817.000000,782.400024,814.799988,813.731689,1384199
2020-06-23,815.000000,853.599976,813.599976,853.599976,852.480774,1284674
2020-06-24,860.000000,864.349976,834.799988,837.599976,836.501770,2160904
2020-06-25,831.200012,831.200012,810.599976,819.000000,817.926208,770062
2020-06-26,820.200012,849.317017,812.000000,824.799988,823.718567,788796
2020-06-29,838.599976,845.400024,827.669983,841.000000,839.897339,618082
2020-06-30,845.000000,849.000000,821.599976,841.400024,840.296875,793538
2020-07-01,841.400024,862.737976,827.000000,829.000000,827.913086,1028956
2020-07-02,837.000000,860.799988,834.400024,843.599976,842.493896,765451
2020-07-03,854.599976,858.599976,826.400024,855.599976,854.478149,1051217
2020-07-06,843.799988,889.599976,843.799988,880.400024,879.245728,1349940
2020-07-07,880.400024,890.799988,864.000000,885.200012,884.039429,693237
2020-07-08,889.799988,914.799988,885.711975,908.599976,907.408691,1424702
2020-07-09,915.599976,937.599976,911.200012,925.599976,924.386414,1725534
2020-07-10,925.200012,955.200012,910.000000,940.000000,938.767517,1091735
2020-07-13,946.000000,998.599976,937.799988,992.799988,991.498291,1844729
2020-07-14,983.000000,1010.000000,964.000000,1005.000000,1003.682312,1303170
2020-07-15,1008.500000,1053.500000,1004.500977,1042.000000,1040.633789,2031621
2020-07-16,1038.000000,1062.310059,1020.500000,1044.000000,1042.631226,1096001
2020-07-17,1037.000000,1091.500000,1035.626953,1091.500000,1090.068970,966359
2020-07-20,1098.500000,1100.000000,1062.603027,1097.000000,1095.561646,1567979
2020-07-21,1120.000000,1136.500000,1066.500000,1069.000000,1067.598389,5808391
2020-07-22,1100.000000,1204.000000,1085.000000,1171.500000,1169.963989,3211744
