Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,237.050003,237.399994,233.449997,233.949997,204.715942,20571473
2020-02-17,234.500000,237.800003,234.000000,236.649994,207.078552,22644679
2020-02-18,233.000000,236.350006,224.500000,226.100006,197.846863,41937963
2020-02-19,228.550003,232.214996,227.699997,232.000000,203.009613,33193920
2020-02-20,230.449997,233.149994,228.738007,228.949997,200.340729,61531443
2020-02-21,227.149994,227.649994,222.550003,224.350006,196.315552,37056098
2020-02-24,216.800003,217.602997,209.050003,211.550003,185.115005,56607465
2020-02-25,212.600006,214.100006,207.453003,208.449997,182.402390,51984199
2020-02-26,205.949997,208.550003,202.449997,208.350006,182.314896,26834509
2020-02-27,204.000000,205.350006,195.520004,199.139999,174.255753,48992281
2020-02-28,189.199997,199.139999,187.039993,193.259995,169.110489,75458385
2020-03-02,200.000000,201.399994,187.880005,193.320007,169.163010,52241026
2020-03-03,195.839996,199.539993,190.660004,191.259995,167.360413,57610960
2020-03-04,193.619995,197.259995,191.740005,193.419998,169.250504,50499013
2020-03-05,194.800003,195.960007,184.800003,186.740005,163.405243,64007532
2020-03-06,180.740005,183.520004,173.759995,174.059998,152.309708,56556927
2020-03-09,142.000000,162.100006,142.000000,152.600006,133.531326,95469715
2020-03-10,157.020004,166.720001,154.100006,155.399994,135.981430,84209488
2020-03-11,155.399994,162.903000,151.679993,153.520004,134.336349,60050672
2020-03-12,144.320007,145.921997,126.120003,127.120003,111.235260,98295408
2020-03-13,136.500000,146.919998,130.139999,135.679993,118.725616,90806700
2020-03-16,129.100006,133.039993,118.800003,130.720001,114.385414,72492805
2020-03-17,136.000000,140.460007,127.559998,137.960007,120.720711,67594527
2020-03-18,130.020004,134.240005,126.739998,128.899994,112.792831,63782209
2020-03-19,125.040001,137.479996,116.527000,117.300003,102.642357,72589508
2020-03-20,122.599998,128.800003,118.139999,119.580002,104.637459,109381986
2020-03-23,111.239998,119.532997,109.760002,112.500000,98.442162,83192340
2020-03-24,118.500000,128.000000,115.959999,128.000000,112.005302,82087005
2020-03-25,131.000000,137.699997,125.164001,133.860001,117.133049,77533407
2020-03-26,127.860001,133.419998,126.018997,132.139999,115.627975,56332721
2020-03-27,126.959999,129.779999,121.500000,124.000000,108.505135,55125070
2020-03-30,125.379997,129.759995,118.379997,119.000000,104.129929,49953724
2020-03-31,122.180000,129.759995,118.500000,123.800003,108.330132,61902868
2020-04-01,119.260002,121.180000,117.139999,119.160004,104.269936,43337909
2020-04-02,120.000000,128.580002,119.998001,126.879997,111.025246,49977565
2020-04-03,126.580002,127.300003,120.000000,120.000000,105.004974,48448570
2020-04-06,124.019997,130.179993,123.959999,130.179993,113.912880,38423740
2020-04-07,135.559998,144.820007,134.940002,141.479996,123.800865,63049246
2020-04-08,137.820007,249.750000,132.300003,137.300003,120.143188,39275442
2020-04-09,142.179993,145.639999,136.199997,144.759995,126.670998,57480405
2020-04-14,147.460007,149.477005,142.561996,143.139999,125.253426,30878451
2020-04-15,144.479996,144.479996,133.119995,134.440002,117.640572,37865730
2020-04-16,135.179993,137.360001,130.119995,131.639999,115.190453,38045263
2020-04-17,137.000000,146.779999,136.619995,141.279999,123.625847,63188340
2020-04-20,142.399994,143.365005,135.940002,143.059998,125.183426,26834614
2020-04-21,138.460007,140.000000,132.399994,133.580002,116.888031,48383660
2020-04-22,134.779999,139.419998,133.300003,139.419998,121.998276,30809960
2020-04-23,140.440002,144.720001,138.860001,143.440002,135.214279,61043572
2020-04-24,140.500000,144.039993,138.539993,139.279999,131.292847,23712933
2020-04-27,142.979996,144.181000,138.520004,139.979996,131.952698,23441158
2020-04-28,140.160004,146.979996,139.240005,145.559998,137.212708,96250017
2020-04-29,145.720001,156.360001,145.720001,154.720001,145.847427,49673363
2020-04-30,153.240005,157.320007,145.080002,147.100006,138.664398,53212894
2020-05-01,142.559998,142.559998,136.759995,139.779999,131.764175,31497055
2020-05-04,138.139999,140.660004,135.520004,137.559998,129.671478,29326505
2020-05-05,142.000000,146.139999,141.220001,143.740005,135.497086,49533843
2020-05-06,144.580002,148.880005,141.940002,144.860001,136.552856,51064814
2020-05-07,145.600006,150.360001,144.339996,148.179993,139.682449,36415592
2020-05-11,150.000000,211.580002,144.000000,148.199997,139.701309,51457475
2020-05-12,147.000000,150.399994,144.740005,147.440002,138.984894,31416732
2020-05-13,143.679993,144.619995,137.580002,138.460007,130.519867,43101333
2020-05-14,136.000000,137.699997,130.320007,136.500000,128.672272,43278410
2020-05-15,139.500000,144.960007,138.779999,141.279999,133.178146,54040989
2020-05-18,145.479996,152.860001,145.360001,152.059998,143.339951,65922026
2020-05-19,153.160004,156.725998,150.460007,154.000000,145.168716,50864276
2020-05-20,152.600006,154.279999,147.953995,153.779999,144.961319,35741972
2020-05-21,151.020004,154.401993,149.020004,150.539993,141.907120,49545617
2020-05-22,146.000000,150.000000,144.179993,148.119995,139.625900,39054760
2020-05-26,152.800003,155.100006,151.080002,153.100006,144.320328,49485988
2020-05-27,153.979996,159.380005,152.761002,156.559998,147.581894,40685731
2020-05-28,158.619995,160.087006,154.000000,157.240005,148.222916,37695745
2020-05-29,155.279999,155.899994,149.179993,149.820007,141.228424,114930363
2020-06-01,155.199997,158.360001,153.000000,156.960007,147.958969,34818707
2020-06-02,158.320007,163.979996,157.199997,161.800003,152.521408,48680445
2020-06-03,164.039993,170.220001,163.039993,168.500000,158.837189,40765143
2020-06-04,167.020004,172.259995,164.740005,169.160004,159.459351,52039040
2020-06-05,172.500000,182.119995,171.779999,180.979996,170.601501,54464902
2020-06-08,180.839996,184.759995,178.979996,181.740005,171.317932,39689323
2020-06-09,182.000000,203.839996,174.820007,177.279999,167.113693,59299313
2020-06-10,177.500000,181.000000,173.960007,178.740005,168.489975,36114752
2020-06-11,173.179993,174.360001,168.181000,168.699997,159.025726,36137089
2020-06-12,165.779999,176.000000,164.235992,172.339996,162.456985,45850669
2020-06-15,164.300003,182.600006,163.658997,167.979996,158.347000,34647149
2020-06-16,175.500000,177.220001,168.679993,172.380005,162.494690,42743632
2020-06-17,172.380005,174.800003,170.802994,172.100006,162.230759,42924160
2020-06-18,171.800003,174.639999,169.020004,171.360001,161.533188,29404220
2020-06-19,172.679993,174.460007,171.018005,171.979996,162.117630,63535655
2020-06-22,165.660004,168.960007,161.960007,166.199997,156.669083,45882836
2020-06-23,167.000000,175.000000,166.565002,172.240005,162.362717,33145357
2020-06-24,171.539993,174.539993,166.679993,166.679993,157.121552,27416918
2020-06-25,163.399994,168.720001,163.399994,167.580002,157.969955,27688475
2020-06-26,168.320007,172.399994,166.740005,166.740005,157.178131,22820985
2020-06-29,165.479996,171.220001,165.000000,169.639999,159.911819,27911939
2020-06-30,170.000000,172.108002,167.619995,171.220001,161.401215,30761381
2020-07-01,172.139999,172.899994,167.380005,167.500000,157.894531,25167625
2020-07-02,169.820007,175.559998,169.119995,172.559998,162.664368,30334400
2020-07-03,172.919998,174.600006,167.919998,169.679993,159.949509,18988781
2020-07-06,174.339996,176.679993,172.800003,175.139999,165.096420,23620552
2020-07-07,174.419998,175.320007,172.240005,174.580002,164.568527,19482141
2020-07-08,172.679993,175.559998,172.039993,172.860001,162.947159,23084125
2020-07-09,174.740005,176.917999,172.539993,173.520004,163.569321,33886858
2020-07-10,172.000000,176.179993,170.500000,175.380005,165.322662,23917444
2020-07-13,178.300003,181.600006,176.679993,178.399994,168.169464,25498679
2020-07-14,175.320007,179.580002,174.539993,179.580002,169.281799,32097550
2020-07-15,182.500000,187.800003,181.919998,182.720001,172.241730,39223709
2020-07-16,183.279999,183.479996,179.720001,181.800003,171.374496,20231292
2020-07-17,181.800003,184.100006,180.839996,183.820007,173.278656,31507620
2020-07-20,183.000000,183.820007,180.500000,183.339996,172.826172,21043153
2020-07-21,185.500000,186.440002,181.880005,182.940002,172.449112,25797353
2020-07-22,183.020004,183.639999,177.440002,178.820007,168.565384,35329921
2020-07-23,180.179993,184.600006,179.440002,183.559998,173.033554,29380276
2020-07-24,180.039993,183.839996,177.761993,182.800003,172.317139,32433522
2020-07-27,183.020004,187.100006,183.020004,185.000000,174.390976,29477191
2020-07-28,185.100006,187.300003,181.300003,183.100006,172.599945,23650535
2020-07-29,183.779999,184.860001,181.619995,182.160004,171.713852,25319326
2020-07-30,183.000000,183.500000,174.199997,177.059998,166.906311,32691494
2020-07-31,177.559998,180.419998,174.020004,174.639999,164.625092,32286740
2020-08-03,174.639999,181.100006,173.520004,180.919998,170.544952,28469972
2020-08-04,181.199997,183.339996,180.000000,182.539993,172.072052,22176477
2020-08-05,183.899994,196.199997,183.899994,196.199997,184.948700,63836538
2020-08-06,189.119995,191.339996,180.339996,180.339996,169.998215,51804633
2020-08-07,179.000000,180.692001,173.779999,174.559998,164.549667,50006393
2020-08-10,175.860001,181.960007,170.779999,171.820007,161.966812,35888052
2020-08-11,173.880005,178.639999,173.712006,177.880005,167.679291,37158117
2020-08-12,177.080002,180.699997,176.320007,179.460007,169.168686,33555470
2020-08-13,177.000000,178.100006,174.899994,176.139999,166.039063,22242458
2020-08-14,173.320007,173.820007,169.119995,170.520004,160.741364,30132548
2020-08-17,170.940002,174.960007,170.899994,174.000000,164.021790,26584373
2020-08-18,171.720001,175.960007,171.020004,172.020004,162.155334,24542066
2020-08-19,171.860001,176.119995,171.199997,176.119995,166.020203,27480634
2020-08-20,172.500000,173.300003,168.520004,168.779999,159.101135,29913315
2020-08-21,169.479996,170.419998,166.059998,168.339996,158.686356,38634363
2020-08-24,170.220001,172.419998,166.156998,171.899994,162.042206,21441198
2020-08-25,172.360001,174.539993,168.039993,168.039993,158.403564,24524067
2020-08-26,168.440002,170.080002,166.580994,169.600006,159.874115,20071141
2020-08-27,169.740005,171.539993,167.759995,167.759995,158.139618,22970768
2020-08-28,169.199997,170.320007,166.600006,169.179993,159.478195,32922529
2020-09-01,172.000000,175.860001,169.539993,172.839996,162.928299,44753369
2020-09-02,174.699997,178.279999,173.839996,174.380005,164.380005,24374150
2020-09-03,175.279999,177.220001,165.919998,166.740005,166.740005,29961334
2020-09-04,165.699997,172.569000,165.080994,171.440002,171.440002,29942030
2020-09-07,173.360001,176.039993,172.500000,175.320007,175.320007,15110610
2020-09-08,176.179993,177.526001,171.020004,174.300003,174.300003,34164831
2020-09-09,174.339996,176.139999,173.220001,174.979996,174.979996,44970973
2020-09-10,174.039993,177.106995,172.259995,174.779999,174.779999,24075859
2020-09-11,174.119995,182.800003,173.759995,182.000000,182.000000,30086769
2020-09-14,182.460007,184.119995,179.839996,181.639999,181.639999,24952980
2020-09-15,184.979996,188.339996,182.899994,186.039993,186.039993,40374211
2020-09-16,185.580002,188.240005,184.419998,185.800003,185.800003,39225981
2020-09-17,182.500000,185.839996,180.468994,185.000000,185.000000,19588763
2020-09-18,186.119995,187.000000,180.600006,180.600006,180.600006,78774702
2020-09-21,178.000000,178.304993,172.000000,173.139999,173.139999,30056101
2020-09-22,173.960007,177.220001,171.979996,172.100006,172.100006,27060014
2020-09-23,174.919998,176.440002,170.860001,170.860001,170.860001,22886291
2020-09-24,168.000000,171.839996,166.729996,168.960007,168.960007,26746347
2020-09-25,169.820007,171.160004,165.580002,167.380005,167.380005,17432827
2020-09-28,169.000000,170.800003,164.279999,164.580002,164.580002,54867632
2020-09-29,164.279999,164.860001,161.800003,162.160004,162.160004,28291354
2020-09-30,161.919998,164.399994,160.020004,160.960007,160.960007,26091390
2020-10-01,162.860001,164.240005,157.699997,159.380005,159.380005,30166535
2020-10-02,156.600006,162.279999,153.039993,161.759995,161.759995,26715396
2020-10-05,164.380005,165.500000,161.600006,163.720001,163.720001,24271536
2020-10-06,163.820007,167.639999,161.759995,164.860001,164.860001,64174989
2020-10-07,166.300003,171.360001,165.360001,169.399994,169.399994,50781723
2020-10-08,169.300003,172.639999,167.119995,169.779999,169.779999,23922484
2020-10-09,171.619995,177.539993,171.520004,173.000000,173.000000,40799136
2020-10-12,173.839996,175.899994,171.279999,171.279999,171.279999,17888260
2020-10-13,170.199997,170.759995,166.899994,168.339996,168.339996,25130518
2020-10-14,169.419998,170.160004,167.457993,168.779999,168.779999,24688980
2020-10-15,166.880005,166.880005,161.000000,162.720001,162.720001,26747538
2020-10-16,164.699997,166.039993,161.500000,163.559998,163.559998,59188433
2020-10-19,164.139999,167.100006,163.699997,165.419998,165.419998,19104651
2020-10-20,164.199997,170.160004,163.091003,168.460007,168.460007,19996833
2020-10-21,170.139999,171.220001,166.059006,167.160004,167.160004,25742040
2020-10-22,166.720001,168.100006,163.339996,165.059998,165.059998,19206319
2020-10-23,164.399994,169.820007,164.080002,167.479996,167.479996,18940347
2020-10-26,164.360001,169.757004,163.500000,166.240005,166.240005,14097270
2020-10-27,166.139999,166.139999,159.899994,160.539993,160.539993,47880667
2020-10-28,159.039993,160.860001,154.300003,156.279999,156.279999,30605435
2020-10-29,155.080002,157.679993,152.720001,155.500000,155.500000,36682699
2020-10-30,152.919998,155.899994,150.591995,155.899994,155.899994,22869291
2020-11-02,155.259995,158.160004,154.199997,156.839996,156.839996,16684591
2020-11-03,159.520004,162.979996,158.779999,160.720001,160.720001,21182010
2020-11-04,156.699997,162.360001,153.520004,162.339996,162.339996,27429648
2020-11-05,162.839996,166.020004,160.619995,164.139999,164.139999,22347299
2020-11-06,164.940002,170.080002,163.039993,170.000000,170.000000,44988410
2020-11-09,172.800003,187.240005,172.199997,180.179993,180.179993,49305529
2020-11-10,180.399994,189.000000,180.179993,187.520004,187.520004,43653778
2020-11-11,186.479996,189.580002,186.261002,188.399994,188.399994,35945973
2020-11-12,186.220001,189.660004,185.259995,188.580002,188.580002,36044976
2020-11-13,186.199997,190.360001,185.360001,189.539993,189.539993,29740709
2020-11-16,192.240005,198.520004,192.091003,195.080002,195.080002,49638368
2020-11-17,195.000000,196.779999,190.660004,192.699997,192.699997,37981966
2020-11-18,192.539993,194.559998,192.539993,193.860001,193.860001,24253065
2020-11-19,190.979996,191.559998,188.660004,190.440002,190.440002,44661168
2020-11-20,190.460007,196.059998,189.600006,195.059998,195.059998,45826527
2020-11-23,197.100006,201.824997,197.024002,199.679993,199.679993,41120571
2020-11-24,205.000000,211.699997,203.050003,211.600006,211.600006,60027476
2020-11-25,212.300003,215.149994,208.500000,215.000000,215.000000,48784296
2020-11-26,215.699997,216.100006,211.899994,212.199997,212.199997,25047639
2020-11-27,211.399994,214.899994,209.850006,213.550003,213.550003,53250454
2020-11-30,212.899994,217.100006,211.850006,211.850006,211.850006,49759528
2020-12-01,213.449997,220.600006,213.000000,219.949997,219.949997,30398283
2020-12-02,220.600006,258.299988,219.000000,222.800003,222.800003,32395477
