Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,762.599976,778.200012,760.000000,778.200012,752.879150,4811583
2020-02-17,779.799988,782.000000,773.000000,781.400024,755.975037,1882220
2020-02-18,775.000000,782.400024,769.200012,772.799988,747.654785,2975571
2020-02-19,779.799988,780.346985,771.799988,778.000000,752.685608,2748292
2020-02-20,771.599976,783.799988,771.599976,779.799988,754.427063,2365709
2020-02-21,770.200012,781.200012,770.200012,775.799988,750.557190,1845678
2020-02-24,757.000000,759.799988,743.000000,755.000000,730.434021,3647274
2020-02-25,757.200012,767.599976,744.000000,744.000000,719.791931,4156917
2020-02-26,749.599976,749.599976,718.200012,723.000000,699.475220,3240995
2020-02-27,708.200012,711.015991,685.000000,690.000000,667.548950,4803992
2020-02-28,663.400024,684.400024,643.599976,682.400024,660.196228,9140099
2020-03-02,707.000000,707.000000,657.599976,659.599976,638.138062,7008348
2020-03-03,669.000000,684.901978,650.799988,655.200012,633.881287,3920215
2020-03-04,655.200012,658.400024,643.400024,651.000000,629.817932,5098777
2020-03-05,651.400024,658.400024,612.599976,618.599976,598.472107,3677843
2020-03-06,601.599976,607.200012,576.200012,596.000000,576.607483,7812224
2020-03-09,506.600006,566.200012,490.399994,564.000000,545.648682,7899131
2020-03-10,560.400024,602.599976,558.799988,600.000000,580.477356,12792517
2020-03-11,585.000000,606.599976,559.200012,575.400024,556.677795,11310311
2020-03-12,547.000000,548.000000,505.200012,516.599976,499.790985,8955701
2020-03-13,550.599976,567.599976,492.899994,506.799988,490.309845,13968864
2020-03-16,477.899994,486.200012,437.600006,454.100006,439.324615,8679855
2020-03-17,461.200012,480.600006,405.100006,420.899994,407.204865,10853751
2020-03-18,409.399994,414.299988,353.600006,378.100006,365.797485,10167136
2020-03-19,378.700012,391.799988,350.299988,376.000000,363.765808,10147397
2020-03-20,396.100006,420.899994,380.799988,381.299988,368.893341,13529791
2020-03-23,355.399994,396.500000,326.700012,388.600006,375.955841,8824710
2020-03-24,399.399994,425.200012,382.299988,425.200012,411.364960,7365088
2020-03-25,455.000000,480.399994,427.899994,462.000000,446.967560,6169088
2020-03-26,443.100006,480.500000,431.015991,480.500000,464.865601,5517097
2020-03-27,465.399994,487.000000,446.899994,465.299988,450.160156,7076541
2020-03-30,463.100006,484.566986,423.000000,423.000000,409.236542,4183150
2020-03-31,427.700012,484.566986,424.000000,442.600006,428.198792,6146659
2020-04-01,424.600006,427.399994,407.100006,408.899994,395.595306,4808071
2020-04-02,400.399994,412.100006,372.000000,374.899994,362.701599,4836358
2020-04-03,373.100006,386.399994,359.743988,363.700012,351.866028,6618473
2020-04-06,373.600006,391.500000,373.600006,391.500000,378.761475,7741760
2020-04-07,400.100006,438.820007,396.799988,432.200012,418.137207,6063757
2020-04-08,423.899994,450.000000,411.899994,450.000000,435.358002,4383765
2020-04-09,456.100006,468.376007,448.100006,463.100006,448.031769,4093596
2020-04-14,465.100006,470.799988,425.899994,426.200012,412.332428,8917453
