Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,2680.000000,2702.000000,2635.000000,2646.000000,2584.783936,810357
2020-02-17,2648.000000,2684.000000,2648.000000,2675.000000,2613.112793,556672
2020-02-18,2652.000000,2668.000000,2632.000000,2659.000000,2597.483154,469951
2020-02-19,2684.000000,2712.000000,2666.000000,2712.000000,2649.257080,1149439
2020-02-20,2708.000000,2795.000000,2704.000000,2778.000000,2713.729980,877034
2020-02-21,2770.000000,2770.000000,2691.000000,2709.000000,2646.326172,629338
2020-02-24,2625.000000,2633.000000,2566.993896,2626.000000,2565.246582,1329750
2020-02-25,2636.000000,2650.000000,2583.000000,2619.000000,2558.408447,940262
2020-02-26,2593.000000,2632.000000,2562.000000,2606.000000,2545.709229,770051
2020-02-27,2573.000000,2575.000000,2470.000000,2481.000000,2423.601074,1319856
2020-02-28,2392.000000,2511.000000,2356.000000,2511.000000,2452.906982,1717611
2020-03-02,2553.000000,2564.965088,2439.000000,2475.000000,2417.739990,1195142
2020-03-03,2514.000000,2570.000000,2491.000000,2501.000000,2443.138428,1108004
2020-03-04,2512.000000,2597.000000,2502.000000,2528.000000,2469.513672,2049945
2020-03-05,2551.000000,2554.000000,2460.000000,2476.000000,2418.716797,777579
2020-03-06,2437.000000,2454.000000,2364.000000,2403.000000,2347.405762,778559
2020-03-09,2199.000000,2275.000000,2184.000000,2225.000000,2173.523926,912405
2020-03-10,2255.000000,2368.000000,2233.000000,2266.000000,2213.575195,1255534
2020-03-11,2300.000000,2341.000000,2236.000000,2253.000000,2200.875977,993537
2020-03-12,2141.000000,2151.000000,2005.000000,2005.000000,1958.613647,1029040
2020-03-13,2092.000000,2182.693115,2015.000000,2057.000000,2009.410522,1291047
2020-03-16,1902.500000,2096.000000,1900.000000,2037.000000,1989.873291,1749012
2020-03-17,2108.000000,2150.000000,1959.500000,2116.000000,2067.045410,1156024
2020-03-18,2021.000000,2083.000000,1870.500000,2067.000000,2019.179077,1309053
2020-03-19,2075.000000,2201.000000,2008.000000,2026.000000,1979.127686,1521099
2020-03-20,2125.000000,2135.000000,1837.000000,1870.000000,1826.736938,2351061
2020-03-23,1741.500000,1863.000000,1614.000000,1852.500000,1809.641846,1329493
2020-03-24,1887.500000,1947.500000,1718.500000,1904.000000,1859.950195,1190317
2020-03-25,1917.500000,1975.500000,1793.635010,1932.000000,1887.302490,1405853
2020-03-26,1847.000000,1910.500000,1809.500000,1900.000000,1856.042847,804876
2020-03-27,1883.000000,1883.000000,1751.500000,1758.500000,1717.816528,811949
2020-03-30,1769.000000,1853.000000,1733.650024,1787.000000,1745.657104,1301968
2020-03-31,1796.000000,1852.719971,1733.650024,1798.000000,1756.402588,1334756
2020-04-01,1749.500000,1764.000000,1676.000000,1735.500000,1695.348511,897374
2020-04-02,1714.000000,1749.000000,1655.500000,1693.500000,1654.320190,1146021
2020-04-03,1686.000000,1702.500000,1655.500000,1683.500000,1644.551636,772420
2020-04-06,1741.000000,1803.500000,1705.000000,1786.500000,1745.168701,796162
2020-04-07,1831.000000,1860.989990,1802.000000,1824.500000,1782.289429,1115167
2020-04-08,1800.500000,1871.000000,1785.644043,1871.000000,1827.713745,739711
2020-04-09,1902.500000,1982.500000,1889.000000,1980.500000,1934.680420,1073144
2020-04-14,2004.000000,2019.000000,1955.000000,1999.500000,1953.240845,1028756
2020-04-15,1985.000000,1994.081055,1860.500000,1860.500000,1817.456543,1012227
2020-04-16,1870.000000,1912.500000,1866.000000,1891.000000,1847.250977,969150
2020-04-17,1946.000000,1995.500000,1935.855957,1972.500000,1926.865479,923496
2020-04-20,1987.500000,2021.000000,1925.500000,1965.000000,1919.538940,588373
2020-04-21,1922.000000,1949.925049,1884.000000,1891.000000,1847.250977,536697
2020-04-22,1907.500000,1928.500000,1881.581055,1918.000000,1873.626343,622148
2020-04-23,1923.500000,1981.500000,1917.500000,1974.500000,1928.819336,392837
2020-04-24,1974.500000,1976.000000,1902.000000,1918.000000,1873.626343,961090
2020-04-27,1950.500000,1969.323975,1914.000000,1962.000000,1916.608398,545063
2020-04-28,1973.500000,2002.000000,1941.505005,1991.500000,1945.425903,571359
2020-04-29,2011.000000,2074.000000,1992.500000,2060.000000,2012.341064,1103709
2020-04-30,2091.000000,2091.000000,1988.000000,1992.500000,1946.402832,701593
2020-05-01,1956.500000,1987.859009,1917.000000,1931.000000,1886.325684,479374
2020-05-04,1917.000000,1930.000000,1883.119995,1910.000000,1865.811401,431802
2020-05-05,1941.500000,1941.500000,1901.000000,1924.500000,1879.975952,488858
2020-05-06,1901.500000,1914.000000,1874.500000,1886.000000,1842.366699,737738
2020-05-07,1894.000000,1961.644043,1894.000000,1955.000000,1909.770264,621766
2020-05-11,2020.000000,2061.000000,1960.500000,1964.000000,1918.562134,799690
2020-05-12,1969.000000,1996.500000,1952.500000,1956.000000,1910.747192,551500
2020-05-13,1932.500000,1952.500000,1887.500000,1892.000000,1848.227905,483707
2020-05-14,1871.000000,1888.000000,1812.500000,1845.500000,1802.803711,609611
2020-05-15,1858.000000,1930.500000,1857.000000,1919.500000,1875.091675,540982
2020-05-18,1922.000000,2035.560059,1922.000000,2031.000000,1984.012085,540080
2020-05-19,2054.000000,2060.375000,1994.000000,2011.000000,1964.474854,695745
2020-05-20,2029.000000,2037.000000,1978.000000,2022.000000,1975.220337,716471
2020-05-21,2010.000000,2054.000000,2004.000000,2020.000000,1973.266602,689454
2020-05-22,2020.000000,2041.000000,1963.500000,2029.000000,1982.058350,571613
2020-05-26,2053.000000,2117.000000,2025.000000,2114.000000,2065.091797,617100
2020-05-27,2150.000000,2193.000000,2127.135010,2171.000000,2120.773193,1046806
2020-05-28,2214.000000,2238.264893,2136.000000,2197.000000,2146.171631,779155
2020-05-29,2180.000000,2187.000000,2098.000000,2113.000000,2064.114990,1018963
2020-06-01,2124.000000,2144.000000,2081.000000,2091.000000,2042.624023,487156
2020-06-02,2117.000000,2188.812988,2106.000000,2164.000000,2113.935059,769395
2020-06-03,2203.000000,2301.000000,2161.000000,2279.000000,2226.274658,859189
2020-06-04,2259.000000,2274.000000,2197.531006,2249.000000,2196.968506,761155
2020-06-05,2285.000000,2296.000000,2238.000000,2261.000000,2208.690918,809286
