Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,218.100006,219.899994,216.699997,216.699997,216.699997,5600248
2020-02-17,217.199997,222.300003,216.399994,222.000000,222.000000,3788508
2020-02-18,220.300003,224.199997,219.300003,221.000000,221.000000,5767906
2020-02-19,220.500000,222.800003,219.800003,221.500000,221.500000,11315810
2020-02-20,223.100006,223.199997,218.399994,219.000000,219.000000,5402364
2020-02-21,218.600006,220.500000,216.102005,219.000000,219.000000,5983961
2020-02-24,213.699997,215.000000,207.800003,207.899994,207.899994,5458626
2020-02-25,208.699997,210.100006,198.550003,199.000000,199.000000,9834605
2020-02-26,198.199997,198.539001,192.500000,196.399994,196.399994,8949694
2020-02-27,194.449997,194.449997,181.899994,186.050003,186.050003,12535844
2020-02-28,180.350006,189.350006,175.500000,189.350006,189.350006,18977506
2020-03-02,192.649994,192.649994,178.949997,185.000000,185.000000,19739258
2020-03-03,187.100006,194.550003,187.100006,188.600006,188.600006,13263419
2020-03-04,188.399994,192.250000,186.350006,188.850006,188.850006,15072588
2020-03-05,189.449997,189.449997,178.050003,178.899994,178.899994,15726546
2020-03-06,175.000000,175.250000,168.330994,169.000000,169.000000,13015332
2020-03-09,163.750000,166.300003,157.199997,162.600006,162.600006,15330188
2020-03-10,164.000000,175.350006,161.300003,169.649994,169.649994,16424503
2020-03-11,172.199997,176.850006,158.699997,159.149994,159.149994,19932077
2020-03-12,148.649994,151.100006,135.149994,139.750000,139.750000,23025590
2020-03-13,146.600006,151.050003,133.949997,136.500000,136.500000,19276410
2020-03-16,122.849998,140.947998,105.250000,137.050003,137.050003,26893969
2020-03-17,141.899994,142.000000,118.500000,124.050003,124.050003,18663082
2020-03-18,121.150002,135.750000,119.099998,124.349998,124.349998,18007866
2020-03-19,125.449997,132.800003,106.599998,132.800003,132.800003,17204473
2020-03-20,138.300003,139.649994,121.050003,126.150002,126.150002,70472778
2020-03-23,101.000000,149.800003,101.000000,143.399994,143.399994,31968674
2020-03-24,140.000000,153.050003,136.781006,152.000000,152.000000,15477539
2020-03-25,156.399994,178.149994,145.542007,170.850006,170.850006,16789699
2020-03-26,164.550003,169.550003,158.300003,169.550003,169.550003,11121285
2020-03-27,153.600006,166.149994,142.649994,144.350006,144.350006,14031526
2020-03-30,146.050003,165.000000,134.699997,142.550003,142.550003,11070707
2020-03-31,143.250000,165.000000,137.250000,143.899994,143.899994,15802497
2020-04-01,139.050003,146.699997,135.300003,136.399994,136.399994,11272811
2020-04-02,135.399994,138.300003,130.649994,133.350006,133.350006,10398991
2020-04-03,132.649994,139.300003,131.350006,135.199997,135.199997,9103482
2020-04-06,138.000000,146.600006,137.470993,140.399994,140.399994,14219391
2020-04-07,146.449997,155.300003,144.899994,148.449997,148.449997,12121821
2020-04-08,145.449997,149.800003,142.932999,147.300003,147.300003,6636740
2020-04-09,150.100006,156.000000,147.649994,152.449997,152.449997,6680555
2020-04-14,152.000000,158.000000,148.500000,148.500000,148.500000,10526517
2020-04-15,148.250000,149.100006,135.300003,135.300003,135.300003,11261499
2020-04-16,136.399994,142.350006,135.600006,136.300003,136.300003,11132512
2020-04-17,141.250000,146.000000,138.899994,140.399994,140.399994,18603963
2020-04-20,141.399994,145.600006,140.399994,140.449997,140.449997,12144835
2020-04-21,139.100006,141.949997,134.013000,137.350006,137.350006,10899634
2020-04-22,138.050003,141.600006,137.100006,138.050003,138.050003,7049712
2020-04-23,139.399994,145.399994,137.949997,144.100006,144.100006,7224982
2020-04-24,142.899994,148.848007,139.699997,146.000000,146.000000,7953773
2020-04-27,148.850006,151.350006,147.449997,150.350006,150.350006,8745847
2020-04-28,151.350006,155.399002,149.350006,153.949997,153.949997,8833942
2020-04-29,154.000000,161.449997,151.500000,159.500000,159.500000,9065208
2020-04-30,160.750000,164.059998,154.570999,157.300003,157.300003,17366446
2020-05-01,152.649994,160.408997,152.649994,158.000000,158.000000,5666969
2020-05-04,161.949997,161.949997,152.699997,158.149994,158.149994,6973230
2020-05-05,160.699997,162.750000,155.514999,155.649994,155.649994,9539664
2020-05-06,155.600006,157.350006,151.100006,154.949997,154.949997,16912799
2020-05-07,155.850006,156.888000,153.649994,156.149994,156.149994,7787966
2020-05-11,158.699997,163.199997,157.199997,162.449997,162.449997,10090819
2020-05-12,168.000000,182.050003,165.800003,178.000000,178.000000,16399219
2020-05-13,174.949997,180.100006,171.186996,172.649994,172.649994,20642717
2020-05-14,171.100006,173.070999,165.899994,169.050003,169.050003,8856991
2020-05-15,169.399994,177.548004,167.250000,171.300003,171.300003,8364132
2020-05-18,171.000000,175.813004,170.050003,171.750000,171.750000,10820596
2020-05-19,172.649994,178.000000,163.899994,166.699997,166.699997,9890411
2020-05-20,166.449997,169.250000,163.100006,169.000000,169.000000,9425981
2020-05-21,168.699997,178.929993,167.649994,176.800003,176.800003,26256277
2020-05-22,175.000000,179.800003,171.600006,175.600006,175.600006,5837802
2020-05-26,180.000000,191.399994,178.895004,190.449997,190.449997,10270663
2020-05-27,190.899994,195.500000,186.649994,195.000000,195.000000,11544522
2020-05-28,196.149994,199.600006,190.716003,194.149994,194.149994,12265132
2020-05-29,191.399994,199.199997,188.149994,194.199997,194.199997,19987614
2020-06-01,196.899994,204.100006,196.899994,200.000000,200.000000,7906296
2020-06-02,200.100006,214.600006,199.050003,207.600006,207.600006,12410159
2020-06-03,208.000000,214.710007,200.500000,201.000000,201.000000,8658408
2020-06-04,200.699997,202.699997,197.399994,198.000000,198.000000,13624810
2020-06-05,198.550003,209.500000,198.149994,207.100006,207.100006,8962123
2020-06-08,209.199997,217.399994,208.800003,210.899994,210.899994,9491843
2020-06-09,208.000000,212.315994,201.320007,205.100006,205.100006,24717025
2020-06-10,206.300003,212.399994,202.300003,204.600006,204.600006,9046965
2020-06-11,199.449997,204.800003,195.399994,195.399994,195.399994,11693310
2020-06-12,192.100006,200.699997,190.309006,196.899994,196.899994,6806229
2020-06-15,191.350006,202.940994,192.621994,199.000000,199.000000,8084854
2020-06-16,202.500000,207.899994,200.899994,203.399994,203.399994,11655348
2020-06-17,218.199997,221.800003,210.100006,215.899994,215.899994,10684721
2020-06-18,214.199997,216.399994,205.100006,209.699997,209.699997,13723670
2020-06-19,211.500000,218.000000,206.074005,208.899994,208.899994,58625501
2020-06-22,207.699997,220.800003,207.699997,217.699997,217.699997,15328804
2020-06-23,219.699997,229.300003,219.636993,226.899994,226.899994,11210499
2020-06-24,222.899994,224.199997,212.500000,213.100006,213.100006,15067715
2020-06-25,213.300003,215.800003,209.438995,213.000000,213.000000,17884813
2020-06-26,214.500000,218.789993,211.800003,214.699997,214.699997,5834380
2020-06-29,213.699997,224.389999,213.500000,223.100006,223.100006,18648581
2020-06-30,220.000000,223.600006,216.699997,220.800003,220.800003,10804134
2020-07-01,224.100006,227.199997,217.100006,219.500000,219.500000,10151816
2020-07-02,221.699997,228.100006,219.699997,225.699997,225.699997,8518247
2020-07-03,225.300003,226.100006,220.399994,220.500000,220.500000,4265851
2020-07-06,224.500000,227.500000,224.399994,226.399994,226.399994,8886192
2020-07-07,226.000000,227.100006,223.399994,225.000000,225.000000,7816564
2020-07-08,223.000000,224.598007,219.699997,221.399994,221.399994,6627588
2020-07-09,223.399994,228.100006,222.100006,225.199997,225.199997,7383634
2020-07-10,224.300003,225.800003,221.733002,224.800003,224.800003,5933985
2020-07-13,227.000000,228.100006,224.100006,226.500000,226.500000,4854983
2020-07-14,224.300003,225.459000,221.899994,224.899994,224.899994,7889879
2020-07-15,225.600006,228.000000,221.000000,225.699997,225.699997,6635987
2020-07-16,228.000000,229.800003,225.000000,228.800003,228.800003,6011815
2020-07-17,227.699997,229.199997,224.500000,227.300003,227.300003,5145615
2020-07-20,224.100006,229.380005,224.000000,227.800003,227.800003,7068911
2020-07-21,229.399994,231.000000,225.100006,225.100006,225.100006,3929123
2020-07-22,240.899994,258.000000,240.000000,258.000000,258.000000,22167337
2020-07-23,258.899994,260.299988,254.011993,254.199997,254.199997,11237730
2020-07-24,250.199997,251.100006,245.500000,248.300003,248.300003,7434184
2020-07-27,252.600006,255.100006,247.399994,250.399994,250.399994,17087499
2020-07-28,251.000000,254.800003,248.199997,249.300003,249.300003,9264707
2020-07-29,250.000000,252.166000,247.699997,249.899994,249.899994,9910732
2020-07-30,243.100006,249.399994,242.399994,244.500000,244.500000,17869779
2020-07-31,246.100006,249.800003,241.899994,241.899994,241.899994,7097145
2020-08-03,238.699997,248.600006,238.399994,247.800003,247.800003,4619155
2020-08-04,248.600006,251.800003,245.899994,250.899994,250.899994,7213594
2020-08-05,252.899994,262.000000,250.962006,262.000000,262.000000,6402923
2020-08-06,259.399994,261.100006,257.200012,260.200012,260.200012,6461130
2020-08-07,259.500000,264.000000,258.899994,263.600006,263.600006,5568042
2020-08-10,265.000000,269.600006,164.796005,263.700012,263.700012,11740426
2020-08-11,265.200012,270.700012,265.200012,270.500000,270.500000,5585623
2020-08-12,270.299988,279.899994,268.299988,273.299988,273.299988,10715508
2020-08-13,273.399994,275.200012,270.700012,273.000000,273.000000,6399813
2020-08-14,272.200012,273.000000,264.522003,268.200012,268.200012,6543934
2020-08-17,266.000000,274.799988,266.000000,274.000000,274.000000,13640372
2020-08-18,272.200012,279.000000,271.100006,275.600006,275.600006,13047803
2020-08-19,273.899994,277.500000,271.799988,277.500000,277.500000,8686025
2020-08-20,273.100006,274.600006,270.799988,273.100006,273.100006,18571054
2020-08-21,268.299988,275.200012,268.299988,273.500000,273.500000,6143688
2020-08-24,274.600006,277.200012,269.700012,274.000000,274.000000,5466891
2020-08-25,272.600006,276.299988,270.549988,273.000000,273.000000,6616215
2020-08-26,267.799988,281.700012,267.799988,281.200012,281.200012,6553940
2020-08-27,281.100006,285.200012,276.399994,276.399994,276.399994,6785815
2020-08-28,276.399994,277.100006,269.500000,270.299988,270.299988,15792679
2020-09-01,271.399994,275.200012,266.299988,270.500000,270.500000,13914607
2020-09-02,272.100006,276.600006,270.100006,272.100006,272.100006,12208105
2020-09-03,273.200012,275.000000,264.299988,265.399994,265.399994,7526355
2020-09-04,264.700012,278.500000,264.299988,270.600006,270.600006,6109518
2020-09-07,271.299988,275.700012,270.700012,273.299988,273.299988,2634076
2020-09-08,274.200012,275.700012,265.100006,275.700012,275.700012,10531312
2020-09-09,274.399994,276.299988,269.799988,275.899994,275.899994,6605381
2020-09-10,275.899994,284.000000,275.899994,282.299988,282.299988,6681681
2020-09-11,279.299988,284.100006,279.299988,281.299988,281.299988,6618697
2020-09-14,282.100006,284.399994,278.899994,284.399994,284.399994,8645210
2020-09-15,282.799988,284.799988,268.100006,273.500000,273.500000,15028396
2020-09-16,282.899994,287.899994,274.200012,277.000000,277.000000,16464255
2020-09-17,272.000000,278.899994,271.899994,278.299988,278.299988,9185051
2020-09-18,278.000000,279.102997,269.899994,270.299988,270.299988,21201826
2020-09-21,268.700012,269.200012,262.100006,264.700012,264.700012,10649063
2020-09-22,271.100006,293.799988,269.334015,290.899994,290.899994,26160804
2020-09-23,294.399994,299.700012,289.707001,299.000000,299.000000,13039232
2020-09-24,296.000000,297.899994,289.100006,290.799988,290.799988,10762185
2020-09-25,289.399994,295.899994,287.399994,295.899994,295.899994,8881312
2020-09-28,290.000000,296.799988,289.000000,292.899994,292.899994,9865830
2020-09-29,292.700012,296.000000,291.000000,295.299988,295.299988,7404289
2020-09-30,291.700012,298.899994,291.700012,296.700012,296.700012,11333140
2020-10-01,296.899994,301.399994,293.600006,295.799988,295.799988,14057549
2020-10-02,293.500000,299.000000,291.700012,294.600006,294.600006,9479711
2020-10-05,297.100006,300.000000,295.799988,295.799988,295.799988,6003145
2020-10-06,296.299988,298.799988,292.899994,296.399994,296.399994,5583708
2020-10-07,296.799988,306.373993,296.299988,303.899994,303.899994,9687379
2020-10-08,305.700012,306.125000,299.399994,301.200012,301.200012,10017675
2020-10-09,299.799988,305.899994,299.799988,305.500000,305.500000,6210056
2020-10-12,304.000000,307.000000,303.299988,305.000000,305.000000,6071550
2020-10-13,306.100006,307.700012,302.399994,307.700012,307.700012,7664987
2020-10-14,310.000000,319.600006,309.200012,313.100006,313.100006,11160049
2020-10-15,311.399994,311.700012,303.600006,308.000000,308.000000,7871647
2020-10-16,308.600006,314.600006,308.100006,311.200012,311.200012,7377267
2020-10-19,311.000000,315.799988,310.500000,313.299988,313.299988,3917549
2020-10-20,311.600006,320.100006,311.600006,320.100006,320.100006,6611111
2020-10-21,319.899994,326.200012,319.899994,321.399994,321.399994,10414761
2020-10-22,317.100006,325.399994,315.399994,319.700012,319.700012,6777374
2020-10-23,318.100006,324.500000,316.700012,320.100006,320.100006,8585478
2020-10-26,315.000000,324.500000,307.299988,308.399994,308.399994,13760945
2020-10-27,307.899994,307.899994,298.039001,299.500000,299.500000,12877795
2020-10-28,295.100006,298.500000,288.399994,290.600006,290.600006,13150304
2020-10-29,290.399994,293.000000,287.700012,288.200012,288.200012,17124143
2020-10-30,286.600006,291.299988,284.500000,287.100006,287.100006,11408258
2020-11-02,289.000000,301.100006,283.609985,296.600006,296.600006,10731798
2020-11-03,298.600006,303.200012,296.799988,297.299988,297.299988,7705859
2020-11-04,293.500000,299.399994,293.500000,297.000000,297.000000,7971640
2020-11-05,298.899994,305.000000,297.399994,302.799988,302.799988,6599203
2020-11-06,302.100006,308.029999,301.200012,306.600006,306.600006,5429586
2020-11-09,309.100006,315.848999,280.399994,280.399994,280.399994,17620864
2020-11-10,281.000000,282.500000,269.600006,275.899994,275.899994,15938717
2020-11-11,275.799988,295.100006,274.341003,293.399994,293.399994,12627475
2020-11-12,294.100006,298.299988,287.299988,293.200012,293.200012,15829083
2020-11-13,291.100006,297.000000,289.000000,294.299988,294.299988,6120742
2020-11-16,294.299988,298.299988,288.299988,291.299988,291.299988,10233911
2020-11-17,291.799988,293.799988,286.399994,289.299988,289.299988,7857997
2020-11-18,288.399994,304.399994,288.100006,299.299988,299.299988,13612240
2020-11-19,291.899994,295.700012,281.899994,291.299988,291.299988,16320102
2020-11-20,293.000000,294.000000,283.000000,283.000000,283.000000,9206857
2020-11-23,283.100006,284.700012,277.399994,278.799988,278.799988,14808402
2020-11-24,279.899994,282.000000,274.899994,277.500000,277.500000,10251269
2020-11-25,277.200012,277.700012,271.600006,275.000000,275.000000,15925131
2020-11-26,276.600006,278.000000,270.100006,270.799988,270.799988,6955102
2020-11-27,271.000000,271.500000,266.799988,270.899994,270.899994,14996096
2020-11-30,270.000000,278.700012,270.000000,273.600006,273.600006,14185972
2020-12-01,274.700012,284.700012,272.054993,281.799988,281.799988,11615876
2020-12-02,280.399994,280.399994,273.000000,276.000000,276.000000,11383521
2020-12-03,274.700012,282.500000,274.700012,282.500000,282.500000,8138790
2020-12-04,280.399994,281.700012,266.682007,268.799988,268.799988,11216542
2020-12-07,267.399994,271.299988,264.200012,265.500000,265.500000,7778386
2020-12-08,263.399994,266.299988,262.700012,263.500000,263.500000,6854386
2020-12-09,264.700012,275.600006,263.000000,273.899994,273.899994,11145587
2020-12-10,274.100006,276.299988,261.000000,263.200012,263.200012,13543796
2020-12-11,264.500000,265.399994,259.600006,260.299988,260.299988,9849493
2020-12-14,263.299988,270.799988,262.100006,270.100006,270.100006,7629990
2020-12-15,270.000000,270.399994,265.200012,270.399994,270.399994,6713267
2020-12-16,270.000000,275.299988,267.600006,272.100006,272.100006,12267789
2020-12-17,274.399994,278.200012,273.399994,275.799988,275.799988,14973451
2020-12-18,275.799988,277.899994,269.036987,270.899994,270.899994,10608942
2020-12-21,267.200012,277.799988,259.500000,269.500000,269.500000,6630425
2020-12-22,269.200012,272.100006,264.500000,265.899994,265.899994,3888626
2020-12-23,265.000000,270.000000,262.100006,270.000000,270.000000,3403301
2020-12-24,271.299988,272.600006,265.399994,265.399994,265.399994,1641958
2020-12-29,269.799988,281.899994,267.399994,275.799988,275.799988,7123415
2020-12-30,274.799988,278.299988,271.799988,271.799988,271.799988,3188054
2020-12-31,270.000000,273.799988,270.000000,270.399994,270.399994,3244870
2021-01-04,273.299988,278.100006,272.000000,275.700012,275.700012,6758658
2021-01-05,277.899994,285.000000,276.000000,284.399994,284.399994,10112734
2021-01-06,285.299988,286.299988,280.600006,285.100006,285.100006,10039799
2021-01-07,286.200012,286.700012,283.626007,284.500000,284.500000,9004672
2021-01-08,285.799988,291.100006,284.000000,286.000000,286.000000,4893359
2021-01-11,286.700012,287.954987,276.100006,279.500000,279.500000,6123440
2021-01-12,287.700012,292.200012,283.700012,284.600006,284.600006,16513766
2021-01-13,2.862000,2.866000,2.810000,2.829000,2.829000,10275203
2021-01-14,283.600006,284.737000,279.100006,279.600006,279.600006,8415410
2021-01-15,279.700012,281.500000,268.700012,269.399994,269.399994,10223076
2021-01-18,269.000000,271.399994,264.901001,268.700012,268.700012,5850971
2021-01-19,269.200012,270.600006,261.500000,262.399994,262.399994,6589196
2021-01-20,262.399994,267.000000,262.399994,265.399994,265.399994,9748626
2021-01-21,267.299988,272.799988,266.799988,272.799988,272.799988,11226665
2021-01-22,271.700012,279.407013,270.500000,273.000000,273.000000,5671233
2021-01-25,270.600006,274.500000,267.299988,270.799988,270.799988,8093867
2021-01-26,271.600006,278.000000,268.399994,273.600006,273.600006,5430373
2021-01-27,273.899994,274.899994,267.299988,274.200012,274.200012,10626674
2021-01-28,272.399994,284.100006,271.700012,282.799988,282.799988,8460211
2021-01-29,279.700012,285.200012,276.200012,277.700012,277.700012,6245173
2021-02-01,278.000000,290.700012,277.299988,287.799988,287.799988,11277265
2021-02-02,289.399994,291.959991,279.799988,281.700012,281.700012,8072819
2021-02-03,284.600006,284.700012,281.299988,284.399994,284.399994,3700490
2021-02-04,284.799988,289.799988,281.799988,286.799988,286.799988,5284023
2021-02-05,286.700012,287.600006,275.652008,281.100006,281.100006,7143157
2021-02-08,281.899994,282.200012,275.871002,277.000000,277.000000,8352187
2021-02-09,2.743000,2.772000,2.683000,2.704000,2.704000,16330399
2021-02-10,271.299988,273.899994,269.600006,273.799988,273.799988,11368452
2021-02-11,274.100006,281.399994,273.799988,277.000000,277.000000,9142967
2021-02-12,276.799988,277.500000,270.899994,270.899994,270.899994,6384389
